# This file was downloaded from https://www.ebi.ac.uk/ena/data/view/PRJNA233428
study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA233428	SAMN02568926	SRS893113	SRX978165	SRR1952227	9606	Homo sapiens	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/007/SRR1952227/SRR1952227.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/007/SRR1952227/SRR1952227.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/007/SRR1952227	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/007/SRR1952227		
PRJNA233428	SAMN02568927	SRS893117	SRX978166	SRR1952228	9606	Homo sapiens	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/008/SRR1952228/SRR1952228.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/008/SRR1952228/SRR1952228.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/008/SRR1952228	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/008/SRR1952228		
PRJNA233428	SAMN02568928	SRS893116	SRX978167	SRR1952229	9606	Homo sapiens	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/009/SRR1952229/SRR1952229.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/009/SRR1952229/SRR1952229.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/009/SRR1952229	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/009/SRR1952229		
PRJNA233428	SAMN02568929	SRS893115	SRX978168	SRR1952230	9606	Homo sapiens	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/000/SRR1952230/SRR1952230.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/000/SRR1952230/SRR1952230.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/000/SRR1952230	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/000/SRR1952230		
PRJNA233428	SAMN02568930	SRS893114	SRX978169	SRR1952231	9606	Homo sapiens	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/001/SRR1952231/SRR1952231.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/001/SRR1952231/SRR1952231.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/001/SRR1952231	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/001/SRR1952231		
PRJNA233428	SAMN02568931	SRS893112	SRX978170	SRR1952232	9598	Pan troglodytes	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/002/SRR1952232/SRR1952232.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/002/SRR1952232/SRR1952232.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/002/SRR1952232	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/002/SRR1952232		
PRJNA233428	SAMN02568932	SRS893111	SRX978171	SRR1952233	9598	Pan troglodytes	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/003/SRR1952233/SRR1952233.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/003/SRR1952233/SRR1952233.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/003/SRR1952233	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/003/SRR1952233		
PRJNA233428	SAMN02568933	SRS893110	SRX978172	SRR1952234	9598	Pan troglodytes	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/004/SRR1952234/SRR1952234.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/004/SRR1952234/SRR1952234.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/004/SRR1952234	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/004/SRR1952234		
PRJNA233428	SAMN02568934	SRS893107	SRX978173	SRR1952235	9598	Pan troglodytes	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/005/SRR1952235/SRR1952235.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/005/SRR1952235/SRR1952235.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/005/SRR1952235	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/005/SRR1952235		
PRJNA233428	SAMN02568935	SRS893109	SRX978174	SRR1952236	9598	Pan troglodytes	Illumina Genome Analyzer IIx	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/006/SRR1952236/SRR1952236.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/006/SRR1952236/SRR1952236.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR195/006/SRR1952236	ftp.sra.ebi.ac.uk/vol1/srr/SRR195/006/SRR1952236		
