Sample	SRR1952235	SRR1952234	SRR1952231	SRR1952236	SRR1952233	SRR1952227	SRR1952228	SRR1952229	SRR1952232	SRR1952230
PCT_CODING_BASES	57.0651	23.77	19.2089	36.0159	45.6641	29.4484	22.3587	44.2537	43.8691	46.0173
PCT_MRNA_BASES	83.185	58.3134	37.8082	84.7577	88.624	59.8194	53.1393	88.3031	87.1273	86.1885
PCT_INTRONIC_BASES	3.1954	37.6709	55.4131	2.8018	7.7365	35.6347	42.7465	7.6152	8.2015	8.9331
MEDIAN_3PRIME_BIAS	0.788902	1.020461	0.808045	0.850135	0.667321	0.782491	0.921661	0.839395	0.52189	0.900268
PCT_USABLE_BASES	70.8641	52.2349	30.6904	74.1791	75.7454	50.2848	49.2783	57.5335	79.3415	56.9677
PCT_INTERGENIC_BASES	1.1608	4.0097	5.6366	10.5488	1.8935	4.4891	4.1035	1.7901	1.9098	1.9634
PCT_UTR_BASES	26.1199	34.5434	18.5993	48.7418	42.96	30.371	30.7807	44.0494	43.2581	40.1712
PF_HQ_ALIGNED_READS	8.8295576E7	8.540356E7	4.709483E7	3.0213329E7	1.03585726E8	1.50606102E8	7.0067166E7	1.44218998E8	9.7128214E7	1.46767042E8
PCT_CHIMERAS	0.0624	0.4184	0.2434	0.0	0.4119	0.3035	0.3707	0.1531	0.315	0.1866
PF_HQ_ALIGNED_Q20_BASES	6.388188796E9	8.210630776E9	4.575710179E9	1.506455818E9	9.677712791E9	7.33182737E9	6.791446612E9	1.2555864412E10	9.159180675E9	1.191263413E10
PF_HQ_ALIGNED_BASES	6.663258306E9	8.518006018E9	4.664230423E9	1.534297507E9	1.0258908759E10	7.494775495E9	6.993008551E9	1.383256539E10	9.627899386E9	1.4003495598E10
PF_READS_ALIGNED	8.8295576E7	8.540356E7	4.709483E7	3.0213329E7	1.03585726E8	1.50606102E8	7.0067166E7	1.44218998E8	9.7128214E7	1.46767042E8
avg_mapped_read_length	150.93	199.48	198.08	50.78	198.08	99.53	199.61	191.83	198.25	190.83
avg_input_read_length	152.0	200.0	200.0	51.0	200.0	100.0	200.0	200.0	200.0	200.0
uniquely_mapped	4.4147788E7	4.270178E7	2.3547415E7	3.0213329E7	5.1792863E7	7.5303051E7	3.5033583E7	7.2109499E7	4.8564107E7	7.3383521E7
total_reads	5.1459053E7	4.7546239E7	2.8729875E7	3.4374526E7	6.0015891E7	8.9158835E7	3.7704604E7	1.061519E8	5.2863422E7	1.05932027E8
Total.Sequences_R1	5.1459053E7	4.7546239E7	2.8729875E7	3.4374526E7	6.0015891E7	8.9158835E7	3.7704604E7	1.061519E8	5.2863422E7	1.05932027E8
